entry_va,name,role_candidate,role_confidence,recovery_status,build_integration_status,module_id,ghidra_body_bytes,source_paths,warnings,undefined_type_occurrences,generated_globals,register_values,unresolved_indirect_calls,pseudocode_file
0x0040b4f0,FUN_0040b4f0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,46,,0,7,0,0,0,pseudocode/0040b4f0.c
0x0040b520,FUN_0040b520,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,11,,0,0,0,0,0,pseudocode/0040b520.c
0x0040b530,FUN_0040b530,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,28,,0,2,0,0,1,pseudocode/0040b530.c
0x0040b550,FUN_0040b550,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,118,,0,4,0,0,0,pseudocode/0040b550.c
0x0040b5d0,FUN_0040b5d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,85,,0,7,1,0,0,pseudocode/0040b5d0.c
0x0040b630,FUN_0040b630,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,1,0,0,0,pseudocode/0040b630.c
0x0040b650,FUN_0040b650,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,1,0,0,0,pseudocode/0040b650.c
0x0040b670,FUN_0040b670,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,26,,0,4,0,0,0,pseudocode/0040b670.c
0x0040b690,FUN_0040b690,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,26,,0,4,0,0,0,pseudocode/0040b690.c
0x0040b6b0,FUN_0040b6b0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,23,,0,2,0,0,0,pseudocode/0040b6b0.c
