entry_va,name,body_bytes,range_count,signature,external,thunk,decompiled,pseudocode_file
"0x0040b6f0","_String_val<char,class_std::_DebugHeapAllocator<char>_>",29,1,"undefined __thiscall _String_val<char,class_std::_DebugHeapAllocator<char>_>(_DebugHeapAllocator<char> param_1)",false,false,true,"pseudocode/0040b6f0.c"
"0x0040b710","FUN_0040b710",29,1,"void * __fastcall FUN_0040b710(void * param_1)",false,false,true,"pseudocode/0040b710.c"
"0x0040b730","FUN_0040b730",35,1,"undefined4 * __thiscall FUN_0040b730(undefined4 param_1)",false,false,true,"pseudocode/0040b730.c"
"0x0040b760","FUN_0040b760",23,1,"undefined4 * __fastcall FUN_0040b760(undefined4 * param_1)",false,false,true,"pseudocode/0040b760.c"
"0x0040b780","FUN_0040b780",44,1,"undefined4 * __fastcall FUN_0040b780(undefined4 * param_1)",false,false,true,"pseudocode/0040b780.c"
"0x0040b7b0","FUN_0040b7b0",91,1,"_String_val<char,class_std::_DebugHeapAllocator<char>_> * __fastcall FUN_0040b7b0(_String_val<char,class_std::_DebugHeapAllocator<char>_> * param_1)",false,false,true,"pseudocode/0040b7b0.c"
"0x0040b810","FUN_0040b810",50,1,"undefined4 * __fastcall FUN_0040b810(undefined4 * param_1)",false,false,true,"pseudocode/0040b810.c"
"0x0040b850","FUN_0040b850",46,1,"undefined4 * __stdcall FUN_0040b850(_Facet_base * * param_1)",false,false,true,"pseudocode/0040b850.c"
"0x0040b880","FUN_0040b880",25,1,"undefined4 * __fastcall FUN_0040b880(undefined4 * param_1)",false,false,true,"pseudocode/0040b880.c"
"0x0040b8a0","FUN_0040b8a0",63,1,"undefined4 * __fastcall FUN_0040b8a0(undefined4 * param_1)",false,false,true,"pseudocode/0040b8a0.c"
"0x0040b8e0","FUN_0040b8e0",24,1,"undefined4 * __fastcall FUN_0040b8e0(undefined4 * param_1)",false,false,true,"pseudocode/0040b8e0.c"
"0x0040b900","FUN_0040b900",22,1,"undefined __fastcall FUN_0040b900(undefined4 * param_1)",false,false,true,"pseudocode/0040b900.c"
"0x0040b920","~unique_ptr<class_std::_Facet_base,struct_std::default_delete<class_std::_Facet_base>_>",53,1,"void __thiscall ~unique_ptr<class_std::_Facet_base,struct_std::default_delete<class_std::_Facet_base>_>(void)",false,false,true,"pseudocode/0040b920.c"
"0x0040b960","FUN_0040b960",20,1,"undefined __fastcall FUN_0040b960(undefined4 * param_1)",false,false,true,"pseudocode/0040b960.c"
"0x0040b980","FUN_0040b980",71,1,"undefined __fastcall FUN_0040b980(undefined4 * param_1)",false,false,true,"pseudocode/0040b980.c"
"0x0040b9d0","FUN_0040b9d0",40,1,"undefined __fastcall FUN_0040b9d0(undefined4 * param_1)",false,false,true,"pseudocode/0040b9d0.c"
"0x0040ba00","FUN_0040ba00",126,1,"undefined __fastcall FUN_0040ba00(undefined4 * param_1)",false,false,true,"pseudocode/0040ba00.c"
"0x0040ba80","FUN_0040ba80",32,1,"undefined __fastcall FUN_0040ba80(int param_1)",false,false,true,"pseudocode/0040ba80.c"
"0x0040baa0","FUN_0040baa0",30,1,"undefined1 __thiscall FUN_0040baa0(undefined1 param_1)",false,false,true,"pseudocode/0040baa0.c"
"0x0040bac0","FUN_0040bac0",94,1,"undefined4 * __thiscall FUN_0040bac0(int param_1)",false,false,true,"pseudocode/0040bac0.c"
"0x0040bb20","FUN_0040bb20",63,1,"undefined4 * __stdcall FUN_0040bb20(undefined4 param_1)",false,false,true,"pseudocode/0040bb20.c"
"0x0040bb60","FUN_0040bb60",83,1,"undefined4 * __thiscall FUN_0040bb60(undefined8 * param_1)",false,false,true,"pseudocode/0040bb60.c"
"0x0040bbc0","FUN_0040bbc0",20,1,"int __thiscall FUN_0040bbc0(int param_1)",false,false,true,"pseudocode/0040bbc0.c"
"0x0040bbe0","FUN_0040bbe0",63,1,"undefined __stdcall FUN_0040bbe0(LPVOID param_1)",false,false,true,"pseudocode/0040bbe0.c"
"0x0040bc20","FUN_0040bc20",56,1,"undefined __stdcall FUN_0040bc20(undefined4 param_1, undefined4 param_2, int param_3, undefined * param_4)",false,false,true,"pseudocode/0040bc20.c"
"0x0040bc60","FUN_0040bc60",136,1,"undefined __fastcall FUN_0040bc60(undefined4 * param_1)",false,false,true,"pseudocode/0040bc60.c"
"0x0040bcf0","FUN_0040bcf0",150,1,"undefined __fastcall FUN_0040bcf0(undefined4 * param_1)",false,false,true,"pseudocode/0040bcf0.c"
"0x0040bd90","FUN_0040bd90",14,1,"undefined __stdcall FUN_0040bd90(void)",false,false,true,"pseudocode/0040bd90.c"
"0x0040bda0","_Get_first",14,1,"default_delete<class_std::_Facet_base> * __thiscall _Get_first(void)",false,false,true,"pseudocode/0040bda0.c"
"0x0040bdb0","FUN_0040bdb0",223,2,"undefined __fastcall FUN_0040bdb0(void * param_1)",false,false,true,"pseudocode/0040bdb0.c"
"0x0040be90","FUN_0040be90",10,1,"int __cdecl FUN_0040be90(int param_1)",false,false,true,"pseudocode/0040be90.c"
"0x0040bea0","FUN_0040bea0",267,1,"undefined4 __fastcall FUN_0040bea0(int param_1)",false,false,true,"pseudocode/0040bea0.c"
"0x0040bfb0","FUN_0040bfb0",58,1,"undefined __thiscall FUN_0040bfb0(undefined4 param_1)",false,false,true,"pseudocode/0040bfb0.c"
"0x0040bff0","FUN_0040bff0",88,1,"undefined __fastcall FUN_0040bff0(undefined4 * param_1)",false,false,true,"pseudocode/0040bff0.c"
"0x0040c050","FUN_0040c050",44,1,"bool __fastcall FUN_0040c050(int param_1)",false,false,true,"pseudocode/0040c050.c"
"0x0040c080","FUN_0040c080",31,1,"undefined __thiscall FUN_0040c080(size_t param_1)",false,false,true,"pseudocode/0040c080.c"
"0x0040c0a0","FUN_0040c0a0",147,1,"undefined __thiscall FUN_0040c0a0(undefined4 * param_1, undefined4 param_2, char * * param_3)",false,false,true,"pseudocode/0040c0a0.c"
"0x0040c140","FUN_0040c140",31,1,"undefined __thiscall FUN_0040c140(undefined4 * param_1, undefined4 param_2)",false,false,true,"pseudocode/0040c140.c"
"0x0040c160","FUN_0040c160",20,1,"undefined __fastcall FUN_0040c160(undefined4 * param_1)",false,false,true,"pseudocode/0040c160.c"
"0x0040c180","FUN_0040c180",88,1,"undefined __fastcall FUN_0040c180(undefined4 * param_1)",false,false,true,"pseudocode/0040c180.c"
"0x0040c1e0","FUN_0040c1e0",83,1,"undefined __thiscall FUN_0040c1e0(undefined4 param_1, char * * param_2)",false,false,true,"pseudocode/0040c1e0.c"
"0x0040c240","FUN_0040c240",54,1,"int __thiscall FUN_0040c240(int param_1, char * * param_2)",false,false,true,"pseudocode/0040c240.c"
"0x0040c280","FUN_0040c280",70,1,"uint __thiscall FUN_0040c280(uint param_1, char * * param_2)",false,false,true,"pseudocode/0040c280.c"
"0x0040c2d0","FUN_0040c2d0",38,1,"undefined __thiscall FUN_0040c2d0(int param_1, char * * param_2)",false,false,true,"pseudocode/0040c2d0.c"
"0x0040c300","FUN_0040c300",16,1,"undefined4 __fastcall FUN_0040c300(undefined4 * param_1)",false,false,true,"pseudocode/0040c300.c"
